"image","x","y"
"images/085.jpg","6.8993006","1.3790354"
"images/136.jpg","9.324037","6.5041656"
"images/126.jpg","1.694646","-4.4404984"
"images/013.jpg","-0.6447843","-4.6978292"
"images/003.jpg","5.4408436","-3.0440779"
"images/109.jpg","-8.645818","-3.204042"
"images/071.jpg","-5.311681","-7.3061604"
"images/119.jpg","-9.33344","-2.0361097"
"images/061.jpg","-0.0253495","3.0394557"
"images/027.jpg","7.9758654","6.1399593"
"images/037.jpg","1.1770492","-0.9798811"
"images/184.jpg","13.372504","5.841638"
"images/194.jpg","-6.569599","1.5709126"
"images/045.jpg","3.3355603","11.758305"
"images/055.jpg","1.4261411","2.9767148"
"images/160.jpg","-6.925826","3.7375982"
"images/018.jpg","9.684306","8.666725"
"images/170.jpg","1.7543875","5.6163216"
"images/008.jpg","-4.2613616","0.0407075"
"images/102.jpg","-5.6935687","-6.1361194"
"images/112.jpg","4.2887425","-1.5254812"
"images/124.jpg","-3.307081","-3.4869711"
"images/134.jpg","-6.1067266","-4.2845116"
"images/146.jpg","2.0487049","8.819042"
"images/156.jpg","-5.9290195","5.267789"
"images/087.jpg","5.873468","5.572066"
"images/097.jpg","-7.935557","-7.950798"
"images/063.jpg","2.8527884","5.414454"
"images/073.jpg","-7.469384","-1.9863805"
"images/179.jpg","5.390036","2.7955317"
"images/001.jpg","-4.642884","8.000388"
"images/169.jpg","-1.4639697","5.45141"
"images/011.jpg","12.417313","4.6657457"
"images/135.jpg","7.49092","1.5422403"
"images/125.jpg","-3.3445306","-3.822479"
"images/096.jpg","2.9135945","-2.7325308"
"images/086.jpg","4.6642585","6.520632"
"images/157.jpg","-6.3820114","5.5934753"
"images/147.jpg","4.9621596","-5.8087106"
"images/072.jpg","-4.871456","-7.5928597"
"images/062.jpg","-1.9473739","-3.7059605"
"images/010.jpg","4.6821456","11.593874"
"images/168.jpg","0.18270418","1.8490465"
"images/178.jpg","6.0318494","6.3156586"
"images/036.jpg","-0.41315955","-2.4960008"
"images/026.jpg","7.6521544","8.166929"
"images/054.jpg","0.24173482","4.48657"
"images/044.jpg","2.7435741","-0.11459782"
"images/195.jpg","-4.324853","1.7233742"
"images/185.jpg","12.991367","4.7640324"
"images/009.jpg","4.572876","-5.6134224"
"images/171.jpg","-4.952112","2.7224903"
"images/019.jpg","4.2737513","2.8274052"
"images/161.jpg","-2.431617","6.056958"
"images/113.jpg","0.08122179","-2.019588"
"images/103.jpg","-5.288721","-6.5399714"
